vuosi, year
 organisaatio, organization
 versio, version
 aste, degree
 teko, act
 tappio, defeat
 valvonta, monitoring
 terveydenhuolto, health care
 totuus, truth
 käsitys,
 jalka, foot
 tutkinto,
 virhe, error
 näyttely, show
 väri, color
 rauha, peace
 kriisi, crisis
 ilma, air
 ohjaus, control
 sivusto, site
 järjestäminen,
 talousarvio, budget
 prosessi, process
 kuljettaja, driver
 heinäkuu, july
 korvaus, compensation
 tekniikka, technique
 todellisuus, reality
 vaara, danger
 museo, museum
 kysyntä, demand
 hakemus, application
 ulkopuolella, outside
 kuvaus, description
 olo,
 ikä, age
 ohjaaja, director
 sähkö, electricity
 neuvottelu, negotiation
 puhelin, phone
 pallo, ball
 tunne, feeling
 oppiminen, learning
 kulu, expense
 mm,
 tietokone, computer
